gene	KO_1_NonTreatment	KO_2_NonTreatment	KO_3_NonTreatment	KO_4_CytokineTreatment	KO_5_CytokineTreatment	KO_6_CytokineTreatment	WT_1_NonTreatment	WT_2_NonTreatment	WT_3_NonTreatment	WT_4_CytokineTreatment	WT_5_CytokineTreatment	WT_6_CytokineTreatment
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	1313	1347	1419	988	1310	974	1282	1079	1737	1329	2052	1116
Adhfe1	30	25	37	37	49	29	20	25	38	16	34	36
2610203C22Rik	30	33	28	4	6	5	17	13	22	7	9	6
Gm6161	11	31	27	31	25	23	23	25	47	18	32	38
Vxn	1	0	0	0	0	1	0	0	0	0	0	0
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	114	107	114	92	110	95	82	111	103	129	154	86
Vcpip1	2037	2296	2347	1510	2088	1563	2362	1971	3017	2410	3561	1932
1700034P13Rik	13	9	1	1	1	8	6	4	5	12	8	7
Sgk3	723	967	931	248	341	229	858	757	1038	371	547	284
Gm6195	9	6	6	1	0	0	5	2	1	3	2	4
Gm22607	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	8	8	1	2	0	2	8	9	9	0	0	4
Snhg6	457	527	535	861	1014	887	466	409	665	1017	1774	769
Snord87	4	2	4	2	2	1	1	2	0	1	2	4
Tcf24	533	876	870	376	406	377	914	563	781	547	841	435
E330040D14Rik	40	43	34	11	14	15	50	41	48	35	54	23
Ppp1r42	37	71	86	66	60	61	71	78	93	65	146	85
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	2414	2647	2804	2367	2913	2428	2808	2378	3425	3543	5459	2599
Cspp1	1678	1894	1689	589	777	682	1776	1663	2028	934	1586	885
1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	8519	9300	8492	4781	6609	4599	9952	7763	11303	7575	10967	6348
Gm26348	0	0	0	0	0	0	0	0	0	0	0	0
Gm37569	0	1	0	0	1	0	0	0	0	1	0	1
Cpa6	6	3	2	2	1	5	4	2	1	4	5	3
Gm38005	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	0	1	0	2	2	1	1	0	1	2	1	0
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	9	2	6	0	0	0	1	10	5	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522	0	3	0	0	0	1	0	0	0	1	0	0
Gm28659	2	1	1	3	3	3	4	1	6	6	7	1
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	430	486	438	66	279	82	426	423	607	104	60	75
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	22	19	24	26	16	19	20	14	31	18	26	14
Gm38178	0	0	0	0	0	0	0	1	0	0	3	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560	34	19	21	14	12	12	22	16	38	29	38	16
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	12	2	5	2	0	1	0	1	0	4	13	4
Gm6216	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	1170	898	880	1798	4108	2220	521	590	834	2631	2418	1927
Slco5a1	162	188	163	106	277	150	137	122	217	181	220	197
Gm37162	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	4	8	6	2	0	0	14	4	11	2	6	3
Ncoa2	3913	4569	4032	1432	1978	1344	4884	3625	5496	2176	3214	1963
Gm38376	0	2	0	1	3	2	1	1	0	2	7	2
Gm37409	0	0	0	0	0	0	1	0	2	0	0	0
Gm27881	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223	0	1	0	0	0	0	0	0	0	0	0	0
Gm37702	0	0	0	0	0	0	0	0	2	0	0	0
Gm23169	0	0	0	0	0	1	0	1	0	0	0	0
Gm38120	0	2	1	1	5	0	2	0	1	2	0	0
Gm38380	0	2	0	0	0	0	1	0	1	0	0	0
Gm29570	9	16	8	3	0	0	2	7	5	1	5	5
Gm7593	23	15	10	4	21	19	18	15	27	21	25	12
Tram1	11377	14049	14535	6185	7277	6128	12839	10702	15989	7962	13047	5906
Lactb2	1698	1921	1988	881	1212	915	2023	1584	2193	1346	1888	1105
Gm38319	15	14	4	4	7	2	13	5	2	2	9	2
Xkr9	1	5	5	16	21	39	8	5	11	24	46	19
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	12	4	6	11	29	16	11	21	14	15	16	19
Gm36947	0	0	0	0	0	0	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	407	556	603	98	86	121	681	518	743	197	291	196
Gm22616	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	1	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0	0	0	0	1	1	0	1	0
Msc	2	6	1	0	6	2	6	4	1	2	8	5
Gm37412	0	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	73	57	77	22	56	38	78	63	74	56	80	35
Rpl5-ps1	185	178	194	208	306	236	202	178	273	329	432	221
Trpa1	26	31	39	3	2	2	34	27	31	6	13	7
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	10	17	10	24	25	26	10	25	21	44	24	28
Kcnb2	247	309	288	100	80	88	413	340	362	152	175	152
Gm38116	0	0	0	0	0	0	0	0	0	0	0	2
Gm37138	0	0	0	0	0	0	0	0	0	0	2	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	406	431	416	208	314	220	459	447	560	308	471	221
Gm37509	1	2	1	0	4	0	2	5	0	0	2	0
Sbspon	2	2	3	2	0	2	1	2	5	0	3	5
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	1	0	2	0	0	0	0	0
4930444P10Rik	6	3	2	5	1	1	4	0	10	7	5	2
Rpl7	16647	16745	17245	19453	25135	19826	17567	15446	23343	25660	39020	18867
Rdh10	2319	2181	2107	1597	2880	1936	2205	2079	3300	1911	2561	1560
Gm38249	0	0	0	0	0	0	0	0	0	0	1	0
Gm28095	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	1968	1985	2147	1615	1461	1385	2301	1920	2717	2185	3789	1814
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	1741	2239	2269	1342	1506	1164	2208	1881	2845	1706	2712	1295
Gm38342	7	10	6	10	5	6	5	14	4	13	9	6
Eloc	1454	1863	1869	1376	1815	1471	1728	1644	2392	1888	2589	1324
D030040B21Rik	0	1	0	0	1	1	1	3	1	2	0	0
Gm7654	0	0	0	0	0	0	0	0	1	0	1	0
Tmem70	768	891	880	514	688	515	868	761	1047	775	1070	559
Ly96	344	325	326	570	476	540	302	250	396	689	1089	517
Gm29649	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828	112	134	87	165	203	166	115	94	163	218	418	197
Gm28376	0	0	0	0	0	2	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	73	65	59	48	125	48	71	57	98	94	92	77
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	2585	3311	3278	1351	958	1198	3223	2651	3752	1759	3000	1432
Gm28784	1	6	3	0	1	0	3	3	5	1	2	0
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251	0	1	0	4	1	0	3	0	0	7	5	2
Rbm6-ps1	50	59	49	31	49	23	51	67	62	49	89	33
Gm6075	0	0	0	0	0	0	0	0	0	0	0	0
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	195	308	371	405	1430	546	234	380	567	809	438	454
Gm28154	0	1	1	0	0	1	0	0	0	1	0	1
Gm16070	0	0	0	0	0	2	0	0	0	0	0	0
Crispld1	10	13	19	10	59	29	14	20	20	22	40	17
Gm28153	0	0	0	0	0	1	0	0	0	0	0	0
Gm7690	8	5	6	5	10	7	4	12	16	12	6	4
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	1	0	0	0	0	1	0	0	0	0	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	1
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	0	0	0	0	1	0	0	0	2	0	0	0
Gm5252	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075	15	12	14	10	12	12	20	13	24	15	33	8
Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849	72	59	65	45	46	18	47	50	59	65	67	37
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	1065	959	988	220	910	275	978	1095	1294	386	310	397
Gm37315	0	2	1	0	0	0	1	0	2	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm15795	85	87	85	127	155	129	66	87	123	144	247	120
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	2	0	0	0	0	1	0	0	0	0	0	0
Il17f	5	0	0	2	0	2	0	0	1	0	5	0
Mcm3	1062	1067	1012	286	999	355	824	797	1369	456	554	382
Gm20587	0	0	0	0	0	0	0	0	0	0	0	0
Gm28065	0	0	0	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	7	28	9	1	1	3	5	10	8	1	5	0
Paqr8	325	331	299	173	282	237	306	236	376	182	287	229
Gm24171	0	0	0	0	0	0	0	0	0	0	0	0
Gm28064	0	0	0	0	0	0	0	0	0	0	0	0
Efhc1	257	326	249	52	49	32	262	293	345	51	66	57
Tram2	1038	1125	900	645	1587	787	868	828	1304	1147	1133	864
Gm28287	5	0	0	0	0	0	0	0	0	0	0	0
Gm2693	4	3	0	0	5	2	6	4	10	6	1	0
Tmem14a	67	81	95	22	27	18	74	60	98	33	43	42
Gm38224	0	0	0	0	0	0	1	0	0	0	0	0
Gsta3	855	732	913	1119	3006	1572	969	808	1504	2011	1832	1351
Gm28836	0	0	0	0	0	0	0	0	0	0	0	0
Gm7094	10	20	11	4	9	8	25	19	20	10	24	5
Gm4956	2	0	0	0	0	0	0	0	0	0	0	0
Gm21909	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0	0
Gm16329	0	0	0	0	0	0	0	0	0	0	0	0
Gm16327	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0
Gm16328	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5	12	17	15	5	25	26	26	9	41	32	47	21
Gm36949	0	0	0	0	0	0	0	0	0	0	0	0
Gm7658	80	116	98	70	74	83	92	74	146	76	152	62
Gm38243	0	0	0	0	0	0	0	0	0	0	0	0
Gm26580	0	0	0	0	0	0	0	0	0	0	0	0
Gm5696	0	0	0	0	0	0	0	0	0	1	0	0
Gm28239	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	21	35	24	7	14	13	24	28	37	4	9	7
Gm26866	0	0	0	0	0	0	0	0	0	0	0	0
Gm7761	0	0	0	0	0	0	0	0	0	0	0	0
Gm29506	0	0	0	0	1	1	0	0	1	0	2	1
4933415F23Rik	0	0	0	0	0	0	1	0	0	0	0	1
Gm24176	0	0	0	0	0	0	0	0	0	0	0	0
Gm6420	0	0	0	2	0	1	1	1	1	0	1	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0
Gm27028	9	5	8	3	1	3	3	5	8	5	7	6
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0
Gm29107	0	0	0	0	0	0	0	0	0	0	0	0
Gm20954	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	592	451	485	535	611	577	568	484	727	626	938	519
Gm7784	0	0	0	0	0	0	0	0	0	1	0	0
Gm28822	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2	26	28	19	5	11	12	25	18	14	13	23	18
Smap1	2304	2385	2510	2178	2780	2346	2457	2027	3165	2960	4153	2364
Sdhaf4	273	316	339	144	174	102	357	254	440	191	227	123
Gm26524	5	1	1	0	0	0	1	0	0	0	0	0
Fam135a	6861	8348	8197	4676	4986	4593	7803	6361	9356	6831	11100	6174
Gm37580	9	10	6	1	3	3	14	6	9	1	2	4
Gm26607	0	0	0	0	0	0	0	0	0	0	0	0
Col9a1	1	0	1	0	0	0	2	1	6	2	1	0
Col19a1	22	16	13	10	14	7	7	15	13	8	13	4
Gm26418	0	0	0	0	0	0	0	0	0	0	0	0
Tubb4b-ps2	130	140	140	111	168	92	119	120	144	146	193	116
Gm28439	1436	3524	3389	956	1677	957	4317	3765	5004	1375	2299	1043
Gm10222	654	1046	1007	203	434	187	1388	1120	1552	327	499	246
Gm28438	136	461	474	55	145	73	568	478	653	106	150	89
Gm28437	2993	4890	5056	3634	3766	3259	5414	4929	6375	5302	8901	3585
Gm10925	2860	8177	7342	5978	6704	4998	9736	8109	11414	8414	14670	6237
Gm28661	4430	6751	6893	4588	5072	4197	7749	7514	9474	6553	11484	4684
Gm29216	3802	4019	3725	4417	4405	3903	4530	4297	5347	5689	10540	4202
Lmbrd1	2841	3118	3079	2636	2526	2349	2777	2339	3493	3124	5316	2698
Gm28594	0	0	0	0	0	0	0	0	0	0	0	0
Gm28237	0	0	0	0	0	0	0	0	0	0	0	0
Gm9443	0	2	0	1	1	0	0	0	1	1	0	0
Gm29414	1	0	0	0	0	1	0	0	0	0	0	0
Adgrb3	370	419	444	239	258	231	532	400	579	358	581	303
Gm15702	0	0	0	0	0	0	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0	0	0	0	0	0	0
Gm22260	0	1	0	0	0	0	0	0	0	0	0	0
Gm37543	0	0	0	0	0	0	0	0	0	0	0	0
Gm37331	0	0	0	0	0	0	0	0	0	1	0	1
Gm37211	0	0	0	3	0	0	0	0	0	0	0	0
Gm37862	0	0	0	0	2	0	0	0	0	0	0	0
Gm38286	0	0	0	1	1	0	0	0	0	0	0	0
Gm37880	0	2	0	0	0	0	0	0	0	0	0	1
Gm25294	0	0	0	0	0	0	0	0	0	0	0	0
Gm37011	1	2	0	0	0	0	0	0	0	0	0	0
Gm29214	0	0	0	0	0	0	0	0	0	0	2	0
Gm37051	0	0	0	0	0	0	0	0	0	1	0	0
Gm38260	0	0	0	0	0	0	0	0	0	0	0	0
Gm37628	0	0	0	0	4	0	0	0	0	0	0	0
8030445P17Rik	0	0	2	0	0	0	0	0	0	0	1	0
Gm38198	0	0	1	1	3	2	2	1	2	0	0	2
Gm37077	0	1	0	0	0	0	0	3	0	0	2	0
Gm37895	0	0	0	1	0	0	0	0	0	0	4	1
Gm36952	0	0	0	0	4	3	0	0	0	1	0	0
Gm37602	0	2	0	0	2	1	0	2	0	0	1	3
2900022M07Rik	0	0	2	0	3	4	3	1	0	4	1	3
2900002M20Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm9884	11	18	19	9	0	5	22	23	21	6	13	5
Gm18443	0	0	0	0	0	0	0	0	0	0	0	0
Gm19123	0	0	0	0	0	0	0	0	0	0	0	0
Gm24064	0	0	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0	0	0	0
n-R5s209	0	0	0	0	0	0	0	0	0	0	0	0
Gm19641	0	0	0	0	0	0	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0	0	0	0	0
Gm18776	0	0	0	0	0	0	0	0	0	0	0	0
Gm19028	40	16	24	15	20	25	28	21	31	17	14	15
Gm38089	0	0	0	0	0	0	0	0	0	0	0	0
Gm7846	23	25	47	20	39	28	42	43	40	34	60	25
Gm597	0	0	0	0	0	0	0	0	0	0	0	0
Gm5697	3	1	7	1	1	1	1	2	5	1	1	1
Gm6462	0	0	0	0	0	0	0	0	0	0	0	0
Gm18033	0	0	0	0	0	0	0	0	0	0	0	0
Gm25586	0	0	0	0	0	0	0	0	0	0	0	0
Gm22679	0	0	0	0	0	0	0	0	0	0	0	0
Gm23785	0	0	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0	0	0
Gm5525	640	660	645	645	926	683	633	580	827	837	1318	653
Gm7858	0	0	0	0	0	0	0	0	0	0	0	0
Gm23771	0	0	0	0	0	0	0	0	0	0	0	0
Gm27430	0	0	0	0	0	0	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0	0	0	0	0	0	0
Gm6473	7	13	24	9	9	5	3	6	12	10	20	13
Gm2914	0	0	0	0	0	2	0	1	0	0	0	0
Phf3	4625	4891	4430	3037	4084	3155	4761	3919	5609	4242	6591	3697
Gm37522	0	1	0	0	0	1	0	0	0	0	0	1
Gm37906	0	0	4	1	3	0	3	1	1	1	7	0
Ptp4a1	25	24	34	28	22	25	231	101	202	103	296	121	15	20	21	18	34	36	324	141	891	287	358	167
AC153137.1	0	0	0	0	0	0	0	0	0	1	4	0
Gm9458	0	0	0	0	1	0	0	0	0	0	2	2
4931428L18Rik	0	0	0	4	1	1	0	0	0	1	7	5
Gm28644	0	0	0	0	1	0	0	0	0	0	0	0
Gm27362	0	0	0	0	0	0	0	0	0	0	0	0
Gm29128	3	1	3	0	1	0	0	0	2	0	0	0
Gm7893	0	0	0	0	0	0	0	0	0	0	2	0
Lgsn	0	1	1	1	0	0	2	0	1	0	4	1
Pih1d3	0	0	0	0	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0	0	0	0	0
Gm28645	0	0	0	0	0	0	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0	0	0	0	0	0	0
Gm10307	0	0	0	0	0	0	0	0	0	0	0	0
Gm19680	9	8	9	12	19	18	8	15	20	6	14	11
Gm23032	0	0	0	0	0	0	0	0	0	0	0	0
Gm7910	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	19	26	19	23	24	26	28	30	35	37	75	34
Gm25814	0	0	0	0	0	0	0	0	0	0	0	0
Gm37999	0	0	0	0	0	1	0	1	0	1	1	0
Gm37110	0	0	0	0	1	0	2	1	1	0	3	0
Gm37911	0	0	0	0	0	0	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0	0	0	0	0
Gm37792	0	0	0	0	0	0	0	0	1	0	2	0
Gm5415	0	2	0	0	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0	0	0	2	0
Gm37426	0	0	0	0	0	0	0	0	0	0	0	0
Gm23024	0	0	0	0	0	0	0	0	0	0	0	0
Gm37151	0	0	0	0	0	0	0	0	0	0	0	0
Gm28624	0	0	0	0	0	0	0	0	0	0	0	0
Gm37724	0	0	0	0	0	0	0	0	0	0	0	0
Gm7114	71	62	73	59	69	54	67	59	121	71	125	81
Gm4785	0	0	0	0	0	0	0	0	1	0	0	0
Gm24901	0	0	0	0	0	0	0	0	0	0	0	0
Gm37591	0	0	0	0	0	0	0	0	0	0	0	0
Gm2987	0	0	0	0	0	0	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0	0	0	0	0	0	0
Gm18799	0	0	0	0	0	0	0	0	0	0	0	0
Gm7933	2	3	2	2	0	4	3	0	1	3	2	1
Gm23453	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	328	375	373	111	300	148	371	295	542	196	275	175
Gm29228	9	8	7	8	14	5	2	6	8	17	11	6
Gm37618	0	0	0	0	0	0	0	0	0	0	0	0
Gm17813	0	0	0	0	0	0	0	0	0	0	0	0
1700001G17Rik	21	29	23	6	3	5	33	38	40	3	3	6
Gm38173	0	0	0	0	0	0	0	0	0	0	0	0
