gene	KO_1_NonTreatment	KO_2_NonTreatment	KO_3_NonTreatment	KO_4_CytokineTreatment	KO_5_CytokineTreatment	KO_6_CytokineTreatment	WT_1_NonTreatment	WT_2_NonTreatment	WT_3_NonTreatment	WT_4_CytokineTreatment	WT_5_CytokineTreatment	WT_6_CytokineTreatment
Gm37005_ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452_ENSMUSG00000084353	1	1	2	3	3	1	2	2	0	3	2	3
Gm36964_ENSMUSG00000103933	4	0	2	9	6	9	4	5	8	4	17	10
Gm24276_ENSMUSG00000076135	1	1	3	2	2	2	2	0	3	3	5	0
Gm6152_ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445_ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0
Gm7493_ENSMUSG00000066693	1	0	0	0	5	0	2	0	1	0	0	0
Gm37629_ENSMUSG00000102316	0	1	0	1	0	0	0	2	0	1	0	2
Gm38008_ENSMUSG00000103819	0	0	0	0	2	0	0	0	0	0	3	0
Gm37143_ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	1	0
Gm6187_ENSMUSG00000101571	0	0	0	0	0	0	0	0	0	1	1	0
Gm18299_ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512_ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765_ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300_ENSMUSG00000103411	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1_ENSMUSG00000061024	1932	1837	1944	1354	1796	1333	1804	1567	2393	1842	2988	1547
Adhfe1_ENSMUSG00000025911	54	37	56	50	59	38	25	37	54	23	59	45
2610203C22Rik_ENSMUSG00000079671	31	39	37	8	10	8	18	19	25	14	12	6
Gm6161_ENSMUSG00000081441	3	4	3	7	3	3	2	4	2	2	3	8
Vxn_ENSMUSG00000067879	1	0	0	0	0	1	0	0	0	0	2	0
Gm29520_ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1_ENSMUSG00000025912	136	151	148	121	168	129	126	143	147	166	214	119
Vcpip1_ENSMUSG00000045210	2982	3416	3526	2154	3107	2320	3505	2924	4440	3495	5311	2888
1700034P13Rik_ENSMUSG00000097893	13	9	1	1	2	8	6	4	5	14	8	9
Sgk3_ENSMUSG00000025915	1002	1385	1297	343	477	347	1198	1098	1486	544	794	453
Gm6195_ENSMUSG00000046334	1	3	3	1	0	0	2	2	3	0	1	0
Gm22607_ENSMUSG00000088916	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2_ENSMUSG00000046101	8	10	5	2	2	3	10	15	15	2	2	11
Snhg6_ENSMUSG00000098234	622	739	734	1110	1344	1198	624	546	916	1340	2455	1042
Snord87_ENSMUSG00000093178	10	5	9	3	4	1	6	6	6	5	5	4
Tcf24_ENSMUSG00000099032	777	1261	1248	512	572	552	1216	839	1156	796	1214	658
E330040D14Rik_ENSMUSG00000104025	58	58	47	17	16	20	66	54	73	40	74	33
Ppp1r42_ENSMUSG00000025916	65	92	112	84	79	76	92	105	122	91	204	101
Gm15818_ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	0	0	0
Gm24674_ENSMUSG00000095780	0	0	0	0	0	0	0	0	0	0	0	0
Cops5_ENSMUSG00000025917	3511	3896	3934	3297	4202	3498	3921	3447	4986	4869	7997	3727
Cspp1_ENSMUSG00000056763	2257	2662	2356	822	1093	930	2416	2317	2872	1290	2349	1223
1700047N06Rik_ENSMUSG00000102356	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1_ENSMUSG00000067851	11390	12867	11773	6546	9236	6510	13433	10748	15513	10222	15702	8824
Gm26348_ENSMUSG00000088153	0	0	0	0	0	0	0	0	0	0	0	0
Gm37569_ENSMUSG00000102556	0	1	0	0	1	0	0	2	2	1	0	1
Cpa6_ENSMUSG00000042501	10	5	7	3	3	5	5	3	5	5	5	8
Gm38005_ENSMUSG00000103810	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604_ENSMUSG00000083422	0	0	0	0	0	0	0	0	0	0	1	0
Gm25253_ENSMUSG00000094979	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603_ENSMUSG00000081417	14	4	11	0	0	0	1	8	10	0	0	0
Gm37133_ENSMUSG00000103448	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522_ENSMUSG00000100212	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659_ENSMUSG00000100648	1	0	0	0	0	1	0	0	1	2	0	0
Gm22963_ENSMUSG00000088585	0	0	0	0	0	0	0	0	0	0	0	0
Prex2_ENSMUSG00000048960	627	715	629	91	370	117	579	607	881	141	107	100
Gm24173_ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686_ENSMUSG00000101827	0	0	0	0	1	0	0	0	1	0	3	0
Gm37410_ENSMUSG00000103494	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik_ENSMUSG00000057715	26	26	33	35	20	22	27	20	42	29	42	20
Gm38178_ENSMUSG00000103825	0	0	0	0	0	0	0	1	0	0	3	0
Gm29273_ENSMUSG00000099845	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069_ENSMUSG00000103561	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560_ENSMUSG00000101610	1	2	0	0	2	2	1	3	0	1	1	0
Gm22633_ENSMUSG00000093864	0	0	0	0	0	0	0	0	0	0	2	0
Mir6341_ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383_ENSMUSG00000097628	0	3	0	3	0	1	0	1	0	1	3	5
Gm6216_ENSMUSG00000098163	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644_ENSMUSG00000097171	0	0	0	0	0	0	0	0	0	0	1	0
Gm29663_ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1_ENSMUSG00000016918	1597	1282	1167	2429	5769	3139	690	801	1152	3547	3398	2621
Slco5a1_ENSMUSG00000025938	232	285	234	159	388	229	196	203	284	260	334	313
Gm37162_ENSMUSG00000104518	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250_ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283_ENSMUSG00000099498	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14_ENSMUSG00000042414	5	12	6	2	0	0	16	4	18	2	13	5
Ncoa2_ENSMUSG00000005886	5305	6422	5641	1944	2748	1900	6717	5048	7424	2959	4616	2787
Gm38376_ENSMUSG00000103506	0	2	1	1	7	2	1	1	2	3	12	2
Gm37409_ENSMUSG00000103495	0	0	0	0	0	0	1	0	3	0	0	0
Gm27881_ENSMUSG00000099183	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223_ENSMUSG00000102639	0	1	0	1	0	0	0	0	0	0	0	0
Gm37702_ENSMUSG00000104170	0	0	0	1	0	0	1	0	2	0	0	0
Gm23169_ENSMUSG00000087782	0	0	0	0	0	1	0	1	0	0	0	0
Gm38120_ENSMUSG00000103085	0	2	0	1	5	0	10	0	1	2	0	0
Gm38380_ENSMUSG00000102664	0	2	0	0	0	0	1	0	1	0	0	0
Gm29570_ENSMUSG00000101476	9	20	8	3	0	0	3	7	5	1	9	5
Gm7593_ENSMUSG00000101171	4	1	1	2	2	1	3	1	3	0	3	1
Tram1_ENSMUSG00000025935	16180	20342	20934	8591	10349	8880	18098	15451	22953	11077	18667	8372
Lactb2_ENSMUSG00000025937	2276	2707	2834	1235	1642	1289	2754	2285	3179	1824	2632	1519
Gm38319_ENSMUSG00000102982	17	16	4	6	13	4	17	6	6	3	18	5
Xkr9_ENSMUSG00000067813	5	6	6	24	29	55	12	5	20	33	67	26
Gm26273_ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523_ENSMUSG00000097711	6	4	0	3	3	4	2	3	5	5	9	4
Gm36947_ENSMUSG00000102166	0	0	0	0	0	0	0	0	0	0	0	0
Gm25491_ENSMUSG00000089358	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400_ENSMUSG00000104209	0	0	0	0	0	0	0	0	0	0	0	0
Eya1_ENSMUSG00000025932	525	770	829	139	129	151	904	703	992	248	399	270
Gm22616_ENSMUSG00000095853	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444_ENSMUSG00000102588	0	0	1	1	0	0	0	0	0	2	1	0
Gm9947_ENSMUSG00000054493	0	0	0	0	0	0	0	1	1	0	1	0
Msc_ENSMUSG00000025930	2	8	2	0	7	2	6	16	6	2	8	5
Gm37412_ENSMUSG00000103492	0	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4_ENSMUSG00000081201	3	4	2	0	2	1	4	2	1	2	1	0
Rpl5-ps1_ENSMUSG00000082193	108	66	45	79	83	82	61	54	88	75	138	81
Trpa1_ENSMUSG00000032769	32	43	48	5	5	3	53	34	48	12	17	10
Gm26345_ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566_ENSMUSG00000073737	2	3	3	9	4	10	3	10	6	10	2	6
Kcnb2_ENSMUSG00000092083	365	480	447	141	123	142	578	511	559	232	304	211
Gm38116_ENSMUSG00000102937	0	0	0	0	0	0	0	0	0	0	2	4
Gm37138_ENSMUSG00000104149	0	0	0	0	0	0	0	0	0	0	2	0
Gm25227_ENSMUSG00000088829	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168_ENSMUSG00000077377	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060_ENSMUSG00000101652	0	0	0	1	0	0	0	0	0	0	0	0
Gm28669_ENSMUSG00000100814	0	0	0	0	0	0	0	0	0	0	0	0
Terf1_ENSMUSG00000025925	619	640	636	307	467	334	622	596	822	445	689	323
Gm37509_ENSMUSG00000104379	1	3	3	0	5	1	2	8	2	0	2	0
Sbspon_ENSMUSG00000032719	2	3	3	5	3	2	1	2	5	1	9	6
Gm23259_ENSMUSG00000088943	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634_ENSMUSG00000100652	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik_ENSMUSG00000067795	8	4	2	6	4	4	5	1	12	12	10	2
Rpl7_ENSMUSG00000043716	21826	22038	22587	25145	33047	26565	22378	20467	30535	33037	52428	24729
Rdh10_ENSMUSG00000025921	3161	2969	2922	2108	3904	2669	2899	2878	4512	2584	3478	2099
Gm38249_ENSMUSG00000104165	0	0	0	0	0	0	0	0	3	0	1	0
Gm28095_ENSMUSG00000100868	0	0	0	0	0	0	0	0	0	0	0	0
Stau2_ENSMUSG00000025920	2604	2769	2869	2141	2038	1982	3180	2656	3702	2985	5421	2485
Gm7568_ENSMUSG00000089982	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w_ENSMUSG00000025939	2377	3197	3304	1856	2206	1772	3248	2775	3996	2460	3927	1902
Gm38342_ENSMUSG00000102457	12	17	9	11	8	7	6	18	6	14	15	8
Eloc_ENSMUSG00000079658	2133	2712	2771	1996	2619	2208	2502	2400	3453	2670	3951	1900
D030040B21Rik_ENSMUSG00000097744	4	1	1	0	1	1	1	3	3	2	0	0
Gm7654_ENSMUSG00000100959	0	0	0	1	0	0	0	0	1	0	1	0
Tmem70_ENSMUSG00000025940	1124	1293	1297	750	1043	727	1267	1134	1499	1120	1642	789
Ly96_ENSMUSG00000025779	491	468	477	801	695	798	425	382	586	1036	1714	743
Gm29649_ENSMUSG00000100093	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828_ENSMUSG00000091020	3	9	8	10	11	14	9	3	12	16	29	15
Gm28376_ENSMUSG00000101640	0	0	0	0	0	2	0	0	0	0	0	0
4921511E07Rik_ENSMUSG00000104133	0	0	0	0	0	0	0	0	0	0	0	0
Jph1_ENSMUSG00000042686	94	91	95	64	175	69	104	86	131	127	128	112
Gm28783_ENSMUSG00000100110	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1_ENSMUSG00000025777	3672	5089	4978	1966	1457	1877	4771	4081	5700	2629	4583	2186
Gm28784_ENSMUSG00000099899	1	8	5	0	1	1	3	4	5	1	4	1
Gm28785_ENSMUSG00000100272	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251_ENSMUSG00000100398	0	0	0	0	0	0	0	0	1	2	0	0
Rbm6-ps1_ENSMUSG00000101589	17	8	10	8	11	10	12	24	15	13	24	13
Gm6075_ENSMUSG00000102048	0	0	0	0	0	0	0	0	0	0	0	0
Gm25166_ENSMUSG00000089534	0	0	0	0	0	0	0	0	0	0	0	0
Pi15_ENSMUSG00000067780	294	440	521	530	2098	799	339	569	798	1153	690	656
Gm28154_ENSMUSG00000100053	0	1	1	0	0	1	0	0	0	1	0	1
Gm16070_ENSMUSG00000085125	0	0	0	0	0	2	0	0	0	0	0	0
Crispld1_ENSMUSG00000025776	12	18	30	20	80	40	17	24	31	40	48	23
Gm28153_ENSMUSG00000099895	0	0	0	0	0	1	0	0	0	0	0	0
Gm7690_ENSMUSG00000100554	0	0	3	0	0	0	0	2	0	1	0	0
Gm18775_ENSMUSG00000099473	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969_ENSMUSG00000099591	0	0	0	0	0	1	0	0	0	0	0	0
Gm28756_ENSMUSG00000109887	0	0	0	0	0	0	0	0	0	0	0	1
Gm28755_ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784_ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4_ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps_ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	0	0	0
Defb18_ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	0	0	0
Defb41_ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837_ENSMUSG00000101685	0	0	0	3	0	3	0	1	1	0	0	2
Gm5252_ENSMUSG00000101306	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075_ENSMUSG00000088800	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343_ENSMUSG00000101644	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344_ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825_ENSMUSG00000089787	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d_ENSMUSG00000042596	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075_ENSMUSG00000100720	1	2	1	4	5	4	5	3	5	3	2	2
Tfap2b_ENSMUSG00000025927	0	1	0	0	0	0	0	0	0	0	0	0
Gm28340_ENSMUSG00000100538	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341_ENSMUSG00000101117	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849_ENSMUSG00000100204	7	2	0	8	4	2	5	4	5	4	5	6
Gm24633_ENSMUSG00000084668	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382_ENSMUSG00000102597	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1_ENSMUSG00000043760	1450	1324	1367	306	1238	391	1304	1460	1824	520	474	546
Gm37315_ENSMUSG00000104095	0	2	1	0	0	0	1	1	2	0	0	0
4930486I03Rik_ENSMUSG00000089914	0	0	0	0	0	0	1	0	0	0	0	0
Gm15795_ENSMUSG00000090142	1	5	5	3	6	1	2	2	4	5	9	5
Gm24162_ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653_ENSMUSG00000099906	0	0	0	0	0	0	0	0	0	0	0	0
Mir206_ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b_ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0	0
Il17a_ENSMUSG00000025929	2	0	0	0	0	1	0	0	0	0	0	0
Il17f_ENSMUSG00000041872	5	0	0	2	1	3	0	0	1	0	6	1
Mcm3_ENSMUSG00000041859	1426	1440	1333	370	1296	475	1109	1106	1764	593	768	542
Gm20587_ENSMUSG00000099714	0	0	0	0	0	0	0	0	0	0	0	0
Gm28065_ENSMUSG00000102121	0	0	0	0	0	0	0	0	0	0	0	0
Gm24723_ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik_ENSMUSG00000097934	8	31	12	1	1	3	9	11	14	2	12	0
Paqr8_ENSMUSG00000025931	487	508	456	219	425	348	425	341	541	278	429	309
Gm24171_ENSMUSG00000077314	0	0	0	0	0	0	0	0	0	0	0	0
Gm28064_ENSMUSG00000100929	0	0	0	0	0	0	0	0	0	0	0	0
Efhc1_ENSMUSG00000041809	368	450	363	67	62	52	366	392	486	82	99	74
Tram2_ENSMUSG00000041779	1451	1533	1260	899	2159	1112	1150	1183	1855	1577	1707	1219
Gm28287_ENSMUSG00000099971	5	0	0	0	0	0	0	0	0	0	0	0
Gm2693_ENSMUSG00000100819	11	5	3	0	6	2	10	5	11	8	5	0
Tmem14a_ENSMUSG00000025933	86	101	129	27	36	28	99	86	138	48	59	44
Gm38224_ENSMUSG00000102633	0	0	0	0	0	0	1	0	0	0	0	0
Gsta3_ENSMUSG00000025934	1153	1017	1252	1498	4084	2212	1249	1099	2083	2675	2538	1929
Gm28836_ENSMUSG00000099343	0	0	0	0	0	0	0	2	0	0	0	0
Gm7094_ENSMUSG00000096375	7	12	3	3	6	3	6	6	13	5	15	2
Gm4956_ENSMUSG00000025936	2	0	0	0	0	0	0	0	0	0	0	0
Gm21909_ENSMUSG00000093963	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a_ENSMUSG00000067750	0	1	0	0	0	0	0	0	0	0	0	0
Gm16329_ENSMUSG00000086194	0	0	0	0	0	0	0	0	0	0	0	0
Gm16327_ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c_ENSMUSG00000041722	0	0	0	0	0	0	0	0	0	0	0	0
Gm2709_ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	0	0	0
Gm16533_ENSMUSG00000094926	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b_ENSMUSG00000085079	0	0	0	0	0	0	0	0	0	0	0	0
Gm16328_ENSMUSG00000085679	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5_ENSMUSG00000028033	19	21	21	9	33	30	30	19	53	48	55	27
Gm36949_ENSMUSG00000104138	0	0	0	0	0	0	0	0	0	0	0	0
Gm7658_ENSMUSG00000082935	11	27	22	14	20	23	19	20	36	26	34	18
Gm38243_ENSMUSG00000103748	0	0	0	0	0	0	0	0	0	0	0	0
Gm26580_ENSMUSG00000097109	0	0	0	0	0	0	0	0	0	0	0	0
Gm5696_ENSMUSG00000099692	0	0	0	0	0	0	1	0	0	0	0	0
Gm28239_ENSMUSG00000100418	0	0	0	0	0	0	0	0	0	0	0	0
Rims1_ENSMUSG00000041670	34	43	40	10	16	16	30	40	50	5	10	10
Gm26866_ENSMUSG00000097642	0	0	0	0	0	0	0	0	0	0	0	0
Gm7761_ENSMUSG00000101468	0	0	0	0	0	0	0	0	0	0	0	0
Gm29506_ENSMUSG00000101227	0	0	0	0	1	1	0	0	1	0	2	1
4933415F23Rik_ENSMUSG00000073730	0	0	0	0	0	0	4	0	0	0	0	1
Gm24176_ENSMUSG00000089553	0	0	0	0	0	0	0	0	0	0	0	0
Gm6420_ENSMUSG00000102766	0	1	0	2	0	1	1	4	2	0	1	0
Mir30a_ENSMUSG00000065405	0	0	0	0	0	0	0	0	0	0	0	0
Gm27028_ENSMUSG00000097970	21	9	12	4	5	3	5	11	13	8	20	12
Mir30c-2_ENSMUSG00000065567	0	0	0	0	0	0	0	0	0	0	0	0
Gm29107_ENSMUSG00000100775	1	0	0	0	0	0	0	0	0	0	0	0
Gm20954_ENSMUSG00000101226	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1_ENSMUSG00000026158	809	686	701	764	880	886	786	740	1063	911	1378	764
Gm7784_ENSMUSG00000097920	1	0	0	1	1	0	1	1	0	1	0	0
Gm28822_ENSMUSG00000099503	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2_ENSMUSG00000026156	36	31	23	7	12	16	29	22	16	19	23	20
