gene	KO_1_NonTreatment	KO_2_NonTreatment	KO_3_NonTreatment	KO_4_CytokineTreatment	KO_5_CytokineTreatment	KO_6_CytokineTreatment	WT_1_NonTreatment	WT_2_NonTreatment	WT_3_NonTreatment	WT_4_CytokineTreatment	WT_5_CytokineTreatment	WT_6_CytokineTreatment
Gm37005_ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452_ENSMUSG00000084353	20	25	11	20	30	14	10	9	27	20	14	17
Gm36964_ENSMUSG00000103933	121	175	132	149	207	156	170	125	173	188	325	142
Gm24276_ENSMUSG00000076135	5	61	60	44	76	67	52	69	81	67	118	50
Gm6152_ENSMUSG00000086195	0	0	2	0	0	0	0	0	5	0	2	1
Gm7445_ENSMUSG00000104504	0	0	1	0	0	3	1	1	0	0	0	0
Gm7493_ENSMUSG00000066693	7	9	10	5	9	5	11	5	6	9	10	7
Gm37629_ENSMUSG00000102316	0	0	0	1	0	0	0	1	0	1	0	0
Gm38008_ENSMUSG00000103819	0	0	0	0	2	0	0	0	0	0	0	0
Gm37143_ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187_ENSMUSG00000101571	6	12	8	6	11	3	12	13	11	3	26	9
Gm18299_ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512_ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765_ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300_ENSMUSG00000103411	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1_ENSMUSG00000061024	1313	1347	1419	988	1310	974	1282	1079	1737	1329	2052	1116
Adhfe1_ENSMUSG00000025911	30	25	37	37	49	29	20	25	38	16	34	36
2610203C22Rik_ENSMUSG00000079671	30	33	28	4	6	5	17	13	22	7	9	6
Gm6161_ENSMUSG00000081441	11	31	27	31	25	23	23	25	47	18	32	38
Vxn_ENSMUSG00000067879	1	0	0	0	0	1	0	0	0	0	0	0
Gm29520_ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1_ENSMUSG00000025912	114	107	114	92	110	95	82	111	103	129	154	86
Vcpip1_ENSMUSG00000045210	2037	2296	2347	1510	2088	1563	2362	1971	3017	2410	3561	1932
1700034P13Rik_ENSMUSG00000097893	13	9	1	1	1	8	6	4	5	12	8	7
Sgk3_ENSMUSG00000025915	723	967	931	248	341	229	858	757	1038	371	547	284
Gm6195_ENSMUSG00000046334	9	6	6	1	0	0	5	2	1	3	2	4
Gm22607_ENSMUSG00000088916	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2_ENSMUSG00000046101	8	8	1	2	0	2	8	9	9	0	0	4
Snhg6_ENSMUSG00000098234	457	527	535	861	1014	887	466	409	665	1017	1774	769
Snord87_ENSMUSG00000093178	4	2	4	2	2	1	1	2	0	1	2	4
Tcf24_ENSMUSG00000099032	533	876	870	376	406	377	914	563	781	547	841	435
E330040D14Rik_ENSMUSG00000104025	40	43	34	11	14	15	50	41	48	35	54	23
Ppp1r42_ENSMUSG00000025916	37	71	86	66	60	61	71	78	93	65	146	85
Gm15818_ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	0	0	0
Gm24674_ENSMUSG00000095780	0	0	0	0	0	0	0	0	0	0	0	0
Cops5_ENSMUSG00000025917	2414	2647	2804	2367	2913	2428	2808	2378	3425	3543	5459	2599
Cspp1_ENSMUSG00000056763	1678	1894	1689	589	777	682	1776	1663	2028	934	1586	885
1700047N06Rik_ENSMUSG00000102356	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1_ENSMUSG00000067851	8519	9300	8492	4781	6609	4599	9952	7763	11303	7575	10967	6348
Gm26348_ENSMUSG00000088153	0	0	0	0	0	0	0	0	0	0	0	0
Gm37569_ENSMUSG00000102556	0	1	0	0	1	0	0	0	0	1	0	1
Cpa6_ENSMUSG00000042501	6	3	2	2	1	5	4	2	1	4	5	3
Gm38005_ENSMUSG00000103810	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604_ENSMUSG00000083422	0	1	0	2	2	1	1	0	1	2	1	0
Gm25253_ENSMUSG00000094979	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603_ENSMUSG00000081417	9	2	6	0	0	0	1	10	5	0	0	0
Gm37133_ENSMUSG00000103448	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522_ENSMUSG00000100212	0	3	0	0	0	1	0	0	0	1	0	0
Gm28659_ENSMUSG00000100648	2	1	1	3	3	3	4	1	6	6	7	1
Gm22963_ENSMUSG00000088585	0	0	0	0	0	0	0	0	0	0	0	0
Prex2_ENSMUSG00000048960	430	486	438	66	279	82	426	423	607	104	60	75
Gm24173_ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686_ENSMUSG00000101827	0	0	0	0	0	0	0	0	0	0	0	0
Gm37410_ENSMUSG00000103494	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik_ENSMUSG00000057715	22	19	24	26	16	19	20	14	31	18	26	14
Gm38178_ENSMUSG00000103825	0	0	0	0	0	0	0	1	0	0	3	0
Gm29273_ENSMUSG00000099845	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069_ENSMUSG00000103561	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560_ENSMUSG00000101610	34	19	21	14	12	12	22	16	38	29	38	16
Gm22633_ENSMUSG00000093864	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341_ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383_ENSMUSG00000097628	12	2	5	2	0	1	0	1	0	4	13	4
Gm6216_ENSMUSG00000098163	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644_ENSMUSG00000097171	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663_ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1_ENSMUSG00000016918	1170	898	880	1798	4108	2220	521	590	834	2631	2418	1927
Slco5a1_ENSMUSG00000025938	162	188	163	106	277	150	137	122	217	181	220	197
Gm37162_ENSMUSG00000104518	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250_ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283_ENSMUSG00000099498	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14_ENSMUSG00000042414	4	8	6	2	0	0	14	4	11	2	6	3
Ncoa2_ENSMUSG00000005886	3913	4569	4032	1432	1978	1344	4884	3625	5496	2176	3214	1963
Gm38376_ENSMUSG00000103506	0	2	0	1	3	2	1	1	0	2	7	2
Gm37409_ENSMUSG00000103495	0	0	0	0	0	0	1	0	2	0	0	0
Gm27881_ENSMUSG00000099183	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223_ENSMUSG00000102639	0	1	0	0	0	0	0	0	0	0	0	0
Gm37702_ENSMUSG00000104170	0	0	0	0	0	0	0	0	2	0	0	0
Gm23169_ENSMUSG00000087782	0	0	0	0	0	1	0	1	0	0	0	0
Gm38120_ENSMUSG00000103085	0	2	1	1	5	0	2	0	1	2	0	0
Gm38380_ENSMUSG00000102664	0	2	0	0	0	0	1	0	1	0	0	0
Gm29570_ENSMUSG00000101476	9	16	8	3	0	0	2	7	5	1	5	5
Gm7593_ENSMUSG00000101171	23	15	10	4	21	19	18	15	27	21	25	12
Tram1_ENSMUSG00000025935	11377	14049	14535	6185	7277	6128	12839	10702	15989	7962	13047	5906
Lactb2_ENSMUSG00000025937	1698	1921	1988	881	1212	915	2023	1584	2193	1346	1888	1105
Gm38319_ENSMUSG00000102982	15	14	4	4	7	2	13	5	2	2	9	2
Xkr9_ENSMUSG00000067813	1	5	5	16	21	39	8	5	11	24	46	19
Gm26273_ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523_ENSMUSG00000097711	12	4	6	11	29	16	11	21	14	15	16	19
Gm36947_ENSMUSG00000102166	0	0	0	0	0	0	0	0	0	0	0	0
Gm25491_ENSMUSG00000089358	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400_ENSMUSG00000104209	0	0	0	0	0	0	0	0	0	0	0	0
Eya1_ENSMUSG00000025932	407	556	603	98	86	121	681	518	743	197	291	196
Gm22616_ENSMUSG00000095853	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444_ENSMUSG00000102588	0	0	1	0	0	0	0	0	0	0	0	0
Gm9947_ENSMUSG00000054493	0	0	0	0	0	0	0	1	1	0	1	0
Msc_ENSMUSG00000025930	2	6	1	0	6	2	6	4	1	2	8	5
Gm37412_ENSMUSG00000103492	0	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4_ENSMUSG00000081201	73	57	77	22	56	38	78	63	74	56	80	35
Rpl5-ps1_ENSMUSG00000082193	185	178	194	208	306	236	202	178	273	329	432	221
Trpa1_ENSMUSG00000032769	26	31	39	3	2	2	34	27	31	6	13	7
Gm26345_ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566_ENSMUSG00000073737	10	17	10	24	25	26	10	25	21	44	24	28
Kcnb2_ENSMUSG00000092083	247	309	288	100	80	88	413	340	362	152	175	152
Gm38116_ENSMUSG00000102937	0	0	0	0	0	0	0	0	0	0	0	2
Gm37138_ENSMUSG00000104149	0	0	0	0	0	0	0	0	0	0	2	0
Gm25227_ENSMUSG00000088829	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168_ENSMUSG00000077377	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060_ENSMUSG00000101652	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669_ENSMUSG00000100814	0	0	0	0	0	0	0	0	0	0	0	0
Terf1_ENSMUSG00000025925	406	431	416	208	314	220	459	447	560	308	471	221
Gm37509_ENSMUSG00000104379	1	2	1	0	4	0	2	5	0	0	2	0
Sbspon_ENSMUSG00000032719	2	2	3	2	0	2	1	2	5	0	3	5
Gm23259_ENSMUSG00000088943	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634_ENSMUSG00000100652	0	0	0	0	1	0	2	0	0	0	0	0
4930444P10Rik_ENSMUSG00000067795	6	3	2	5	1	1	4	0	10	7	5	2
Rpl7_ENSMUSG00000043716	16647	16745	17245	19453	25135	19826	17567	15446	23343	25660	39020	18867
Rdh10_ENSMUSG00000025921	2319	2181	2107	1597	2880	1936	2205	2079	3300	1911	2561	1560
Gm38249_ENSMUSG00000104165	0	0	0	0	0	0	0	0	0	0	1	0
Gm28095_ENSMUSG00000100868	0	0	0	0	0	0	0	0	0	0	0	0
Stau2_ENSMUSG00000025920	1968	1985	2147	1615	1461	1385	2301	1920	2717	2185	3789	1814
Gm7568_ENSMUSG00000089982	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w_ENSMUSG00000025939	1741	2239	2269	1342	1506	1164	2208	1881	2845	1706	2712	1295
Gm38342_ENSMUSG00000102457	7	10	6	10	5	6	5	14	4	13	9	6
Eloc_ENSMUSG00000079658	1454	1863	1869	1376	1815	1471	1728	1644	2392	1888	2589	1324
D030040B21Rik_ENSMUSG00000097744	0	1	0	0	1	1	1	3	1	2	0	0
Gm7654_ENSMUSG00000100959	0	0	0	0	0	0	0	0	1	0	1	0
Tmem70_ENSMUSG00000025940	768	891	880	514	688	515	868	761	1047	775	1070	559
Ly96_ENSMUSG00000025779	344	325	326	570	476	540	302	250	396	689	1089	517
Gm29649_ENSMUSG00000100093	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828_ENSMUSG00000091020	112	134	87	165	203	166	115	94	163	218	418	197
Gm28376_ENSMUSG00000101640	0	0	0	0	0	2	0	0	0	0	0	0
4921511E07Rik_ENSMUSG00000104133	0	0	0	0	0	0	0	0	0	0	0	0
Jph1_ENSMUSG00000042686	73	65	59	48	125	48	71	57	98	94	92	77
Gm28783_ENSMUSG00000100110	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1_ENSMUSG00000025777	2585	3311	3278	1351	958	1198	3223	2651	3752	1759	3000	1432
Gm28784_ENSMUSG00000099899	1	6	3	0	1	0	3	3	5	1	2	0
Gm28785_ENSMUSG00000100272	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251_ENSMUSG00000100398	0	1	0	4	1	0	3	0	0	7	5	2
Rbm6-ps1_ENSMUSG00000101589	50	59	49	31	49	23	51	67	62	49	89	33
Gm6075_ENSMUSG00000102048	0	0	0	0	0	0	0	0	0	0	0	0
Gm25166_ENSMUSG00000089534	0	0	0	0	0	0	0	0	0	0	0	0
Pi15_ENSMUSG00000067780	195	308	371	405	1430	546	234	380	567	809	438	454
Gm28154_ENSMUSG00000100053	0	1	1	0	0	1	0	0	0	1	0	1
Gm16070_ENSMUSG00000085125	0	0	0	0	0	2	0	0	0	0	0	0
Crispld1_ENSMUSG00000025776	10	13	19	10	59	29	14	20	20	22	40	17
Gm28153_ENSMUSG00000099895	0	0	0	0	0	1	0	0	0	0	0	0
Gm7690_ENSMUSG00000100554	8	5	6	5	10	7	4	12	16	12	6	4
Gm18775_ENSMUSG00000099473	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969_ENSMUSG00000099591	1	0	0	0	0	1	0	0	0	0	0	0
Gm28756_ENSMUSG00000109887	0	0	0	0	0	0	0	0	0	0	0	1
Gm28755_ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784_ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4_ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps_ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	0	0	0
Defb18_ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	0	0	0
Defb41_ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837_ENSMUSG00000101685	0	0	0	0	1	0	0	0	2	0	0	0
Gm5252_ENSMUSG00000101306	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075_ENSMUSG00000088800	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343_ENSMUSG00000101644	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344_ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825_ENSMUSG00000089787	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d_ENSMUSG00000042596	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075_ENSMUSG00000100720	15	12	14	10	12	12	20	13	24	15	33	8
Tfap2b_ENSMUSG00000025927	0	0	0	0	0	0	0	0	0	0	0	0
Gm28340_ENSMUSG00000100538	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341_ENSMUSG00000101117	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849_ENSMUSG00000100204	72	59	65	45	46	18	47	50	59	65	67	37
Gm24633_ENSMUSG00000084668	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382_ENSMUSG00000102597	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1_ENSMUSG00000043760	1065	959	988	220	910	275	978	1095	1294	386	310	397
Gm37315_ENSMUSG00000104095	0	2	1	0	0	0	1	0	2	0	0	0
4930486I03Rik_ENSMUSG00000089914	0	0	0	0	0	0	0	0	0	0	0	0
Gm15795_ENSMUSG00000090142	85	87	85	127	155	129	66	87	123	144	247	120
Gm24162_ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653_ENSMUSG00000099906	0	0	0	0	0	0	0	0	0	0	0	0
Mir206_ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b_ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0	0
Il17a_ENSMUSG00000025929	2	0	0	0	0	1	0	0	0	0	0	0
Il17f_ENSMUSG00000041872	5	0	0	2	0	2	0	0	1	0	5	0
Mcm3_ENSMUSG00000041859	1062	1067	1012	286	999	355	824	797	1369	456	554	382
Gm20587_ENSMUSG00000099714	0	0	0	0	0	0	0	0	0	0	0	0
Gm28065_ENSMUSG00000102121	0	0	0	0	0	0	0	0	0	0	0	0
Gm24723_ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik_ENSMUSG00000097934	7	28	9	1	1	3	5	10	8	1	5	0
Paqr8_ENSMUSG00000025931	325	331	299	173	282	237	306	236	376	182	287	229
Gm24171_ENSMUSG00000077314	0	0	0	0	0	0	0	0	0	0	0	0
Gm28064_ENSMUSG00000100929	0	0	0	0	0	0	0	0	0	0	0	0
Efhc1_ENSMUSG00000041809	257	326	249	52	49	32	262	293	345	51	66	57
Tram2_ENSMUSG00000041779	1038	1125	900	645	1587	787	868	828	1304	1147	1133	864
Gm28287_ENSMUSG00000099971	5	0	0	0	0	0	0	0	0	0	0	0
Gm2693_ENSMUSG00000100819	4	3	0	0	5	2	6	4	10	6	1	0
Tmem14a_ENSMUSG00000025933	67	81	95	22	27	18	74	60	98	33	43	42
Gm38224_ENSMUSG00000102633	0	0	0	0	0	0	1	0	0	0	0	0
Gsta3_ENSMUSG00000025934	855	732	913	1119	3006	1572	969	808	1504	2011	1832	1351
Gm28836_ENSMUSG00000099343	0	0	0	0	0	0	0	0	0	0	0	0
Gm7094_ENSMUSG00000096375	10	20	11	4	9	8	25	19	20	10	24	5
Gm4956_ENSMUSG00000025936	2	0	0	0	0	0	0	0	0	0	0	0
Gm21909_ENSMUSG00000093963	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a_ENSMUSG00000067750	0	0	0	0	0	0	0	0	0	0	0	0
Gm16329_ENSMUSG00000086194	0	0	0	0	0	0	0	0	0	0	0	0
Gm16327_ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c_ENSMUSG00000041722	0	0	0	0	0	0	0	0	0	0	0	0
Gm2709_ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	0	0	0
Gm16533_ENSMUSG00000094926	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b_ENSMUSG00000085079	0	0	0	0	0	0	0	0	0	0	0	0
Gm16328_ENSMUSG00000085679	0	0	0	0	0	0	0	0	0	0	0	0
Kcnq5_ENSMUSG00000028033	12	17	15	5	25	26	26	9	41	32	47	21
Gm36949_ENSMUSG00000104138	0	0	0	0	0	0	0	0	0	0	0	0
Gm7658_ENSMUSG00000082935	80	116	98	70	74	83	92	74	146	76	152	62
Gm38243_ENSMUSG00000103748	0	0	0	0	0	0	0	0	0	0	0	0
Gm26580_ENSMUSG00000097109	0	0	0	0	0	0	0	0	0	0	0	0
Gm5696_ENSMUSG00000099692	0	0	0	0	0	0	0	0	0	1	0	0
Gm28239_ENSMUSG00000100418	0	0	0	0	0	0	0	0	0	0	0	0
Rims1_ENSMUSG00000041670	21	35	24	7	14	13	24	28	37	4	9	7
Gm26866_ENSMUSG00000097642	0	0	0	0	0	0	0	0	0	0	0	0
Gm7761_ENSMUSG00000101468	0	0	0	0	0	0	0	0	0	0	0	0
Gm29506_ENSMUSG00000101227	0	0	0	0	1	1	0	0	1	0	2	1
4933415F23Rik_ENSMUSG00000073730	0	0	0	0	0	0	1	0	0	0	0	1
Gm24176_ENSMUSG00000089553	0	0	0	0	0	0	0	0	0	0	0	0
Gm6420_ENSMUSG00000102766	0	0	0	2	0	1	1	1	1	0	1	0
Mir30a_ENSMUSG00000065405	0	0	0	0	0	0	0	0	0	0	0	0
Gm27028_ENSMUSG00000097970	9	5	8	3	1	3	3	5	8	5	7	6
Mir30c-2_ENSMUSG00000065567	0	0	0	0	0	0	0	0	0	0	0	0
Gm29107_ENSMUSG00000100775	0	0	0	0	0	0	0	0	0	0	0	0
Gm20954_ENSMUSG00000101226	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1_ENSMUSG00000026158	592	451	485	535	611	577	568	484	727	626	938	519
Gm7784_ENSMUSG00000097920	0	0	0	0	0	0	0	0	0	1	0	0
Gm28822_ENSMUSG00000099503	0	0	0	0	0	0	0	0	0	0	0	0
B3gat2_ENSMUSG00000026156	26	28	19	5	11	12	25	18	14	13	23	18
Smap1_ENSMUSG00000026155	2304	2385	2510	2178	2780	2346	2457	2027	3165	2960	4153	2364
